path_index,final_price,max_price,min_price,return_pct
0,97.93378722737663,108.69706602335087,89.65392932843318,-2.6887550828168627
1,84.27540972878417,104.68834191936794,77.84268973893035,-15.587707076026124
2,107.8023327145831,110.8385135127852,100.40887429437375,6.913504814450255
3,104.36698074247138,116.08814093316575,100.75528569525602,2.3712517767815466
4,96.42205749185356,99.7172995912846,86.55259781197066,-3.3045841723927327
5,87.09689032171923,104.82257619724514,84.98800439643347,-12.65620643238945
6,97.72067811959775,106.89982655524832,92.61228917420667,-4.215782529165635
7,107.81500341288825,109.52593770722565,91.27667204764403,6.7648775590822385
8,95.71472693766539,110.17169642156682,94.4315745314321,-3.7289214809212656
9,130.86903922563886,130.86903922563886,100.61546413425978,29.96204690535409
10,102.15154945080269,107.18754730550083,91.1984452244376,2.7374758132855614
11,107.48610206537079,113.50078506979065,97.00740026693238,8.105775634101198
12,114.9307651849705,129.23198852851394,100.15027911231547,14.567299569590663
13,83.74869517611316,109.69769375576715,81.73123491168842,-14.218221830592404
14,106.18793735262821,111.35249761524918,97.26117319593864,8.507944605716666
15,102.00941591756427,113.76653934614039,99.3059090786167,2.7224027895533576
16,126.08785635496355,126.08785635496355,97.53183506558511,27.6919039053948
17,86.15405691596115,100.40865190081783,80.53756428896493,-14.196580389244895
18,94.94863338733735,107.09949698221968,94.49120660167858,-3.970347440371391
19,94.68084405616106,111.50102738793477,91.20614019858665,-3.6308619203147097
20,123.17549011745683,131.58295424259444,101.87582527894914,20.907477097914516
21,111.09198242903359,112.36055575115743,96.32234042306727,11.395172873940007
22,98.88221123679565,109.99867474698297,97.88055638858283,-1.2136405216845891
23,120.85994730888335,120.85994730888335,94.59429952434513,23.03434047486974
24,103.6921397080438,114.01846909925084,98.1226575813301,4.393336211238363
25,86.11764898985034,107.6429012908778,86.11764898985034,-14.01285296550906
26,85.49615383682425,101.6364844163811,85.49615383682425,-13.265346439302284
27,133.75318971143082,137.4812668780938,98.06216833785726,33.10573815309783
28,100.20308964772987,114.42515197832178,98.51447603358048,0.9522175730157123
29,98.15194483690064,107.19689208839698,91.11708683778768,-1.4984106415517173
30,98.05077081008695,101.79359057480488,91.25981418919129,-1.214863105783981
31,84.76221647599618,102.76602215689033,80.14423101093954,-17.202793419892913
32,113.16767557690186,114.80888978144631,95.81007561841011,13.173447437234543
33,98.4812613913192,106.50203597765952,91.08917946975028,-0.2094840832185585
34,122.28266122351957,122.28266122351957,99.90180129720801,21.007571826569315
35,112.05051690273797,120.29568463598827,98.48537395448079,13.77376396471508
36,110.1358905695454,113.44762330524283,95.82226421353634,9.833380047534046
37,87.68580814535864,98.88168987439597,80.49062414879907,-10.13302343611624
38,97.15187479853225,106.12849615068745,92.03740972639685,-1.220509484417509
39,90.86906134320492,102.53522574412587,90.50408409768356,-9.366824825713637
40,87.52389839873041,108.93146864744878,87.52389839873041,-13.296952889538838
41,123.33762723676709,123.33762723676709,100.22806818292885,23.056973433490093
42,95.52179716634502,101.03046532476868,89.68068047696777,-4.3503106782417085
43,88.74215237585729,102.10247304920942,86.70792523974266,-10.931164543753113
44,107.49786332563099,108.32048152129511,88.3529488983749,9.506022733296504
45,84.08313908839693,100.8558831027226,84.08313908839693,-15.16092749448662
46,74.87619585019898,99.43316705549384,74.85782104067101,-24.696961720619402
47,88.9105513712246,101.35282252333405,81.36819405847237,-12.276196007511208
48,98.70719744066815,113.24285960250158,96.90925170039762,-1.7308998876066406
49,95.25725914885443,102.07251927843564,88.58812957710671,-2.614785904133088
50,95.46100942471908,101.989496541105,87.82395255412503,-4.939287730349207
51,119.56730324035256,122.08908575078921,99.52786477028937,20.134500540440882
52,93.8313073962506,107.79399501035182,89.04475878265501,-5.376303538526884
53,94.52044934166155,110.73541778694185,93.93852489100861,-6.216328620549083
54,89.7827867231271,108.76255062435024,87.74110477272592,-11.386443688692893
55,103.58016940825753,106.06141919864511,90.36989153087016,2.3597759307415034
56,94.81212581087466,107.01382848855022,91.15935223905348,-4.191499782638408
57,119.8419421861074,125.59111054111995,97.19589647778945,20.29540045195879
58,101.67822253922864,108.37532178333775,93.43390415277253,1.242696620181749
59,124.55454396831952,124.55454396831952,99.8519763693598,23.01840313696546
60,111.48394732692651,115.66632653089087,95.63876048164934,12.145663213185486
61,118.7037650698708,123.10354828001972,99.77824268330764,18.9675843927539
62,89.9189579214617,103.06690234108669,85.30765683600764,-8.829784435143873
63,85.76203733747658,99.00748407024868,81.24495859107775,-12.946036840991725
64,116.90693276173594,119.2472851110296,101.04097187884531,15.702502250191097
65,95.00475368227436,102.27812828387559,92.04529089639988,-6.615921661599755
66,121.56626148859398,124.47743447382678,95.29235268612187,21.662117135320756
67,103.83145562603612,115.21088449513122,101.28441603673721,2.5147398671628407
68,101.05179654737951,101.05179654737951,87.00538291472445,0.5804584920459765
69,118.36863793905802,125.10564777143243,96.39799770774766,19.320422723020016
70,110.5428621965705,119.74812817169554,99.36049593411265,10.027588034013156
71,103.20853207295282,103.87060412235061,87.1786781335537,1.2158168669711422
72,75.68081367714606,103.25078114194096,74.8702178592831,-24.294032043251168
73,85.40492364620866,106.09997871525859,82.37607046357955,-16.27211733131301
74,99.98833134294384,108.61355030851021,89.12839708645335,3.3312793042729494
75,102.32969710530777,105.64758287896275,93.23318184906339,1.2634846922927379
76,94.3162778823892,102.60385374593366,89.6823901421161,-5.798316290101213
77,100.13524285195618,109.83744636694183,95.77632886436866,0.501212459739131
78,100.9327454270407,107.25592684032938,97.75638844408675,0.8041256071321667
79,95.51217607963362,112.18766185922325,94.02827316776552,-2.07756315491443
80,104.76573486212875,117.80071501133682,99.49621062324164,5.0435807730305315
81,105.03368122668199,110.69684307986587,92.9291333157788,4.54972851723745
82,93.40906541250551,103.36316060103941,90.24590769908296,-8.325006944693424
83,110.24031818369603,111.64182869875881,97.80507491677828,10.949288540153002
84,99.05524763796953,104.1429747677467,88.08458921952764,0.05747448749713335
85,98.11074498243035,105.72271853131404,96.33401897572601,-1.2788323072030372
86,95.11358803765484,105.55072970907182,92.72575623506708,-5.988246596062618
87,98.05377976144348,104.64975118832649,90.64388775254271,-2.3631309308623116
88,93.26515020544294,104.97715842467807,90.08309702373838,-6.12146013954078
89,111.16406032192604,116.30938903483079,92.49132416410562,10.434382559561794
90,99.00542766870446,100.910922217655,88.78471440363502,-1.127359356569202
91,103.2205363779611,107.58468595397953,94.48199805598534,1.9563725576063895
92,107.34474310895382,114.50397883287954,96.46558825677911,8.285530943670526
93,92.9093644394249,103.84277368662211,90.20399179916633,-6.717404277856687
94,92.17461792727211,106.31093549065575,90.06391460392943,-7.379930651468447
95,109.40796598123669,112.80613985433183,96.77513675689285,11.430737562924143
96,121.22835803026825,126.36677688007853,96.71436353482105,20.762548804481117
97,102.00927550007283,103.24624800213917,93.0150878104994,1.662216060481314
98,99.68184987840928,114.56417203743335,94.91503957649243,-0.3364371843291858
99,110.47500312861482,112.38181984522012,98.24834857656302,10.788807270033974
